
Interface status
=======================================================================
DN                                                Description           Speed        MTU
---------------------------------------------  -------------------   -----------   --------
topology/pod-1/node-201/sys/phys-[eth1/33]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/34]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/35]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/36]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/1]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/2]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/3]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/4]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/5]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/6]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/7]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/8]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/9]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/10]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/11]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/12]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/13]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/14]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/15]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/16]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/17]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/18]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/19]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/20]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/21]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/22]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/23]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/24]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/25]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/26]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/27]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/28]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/29]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/30]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/31]                             inherit         9150
topology/pod-1/node-201/sys/phys-[eth1/32]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/97]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/98]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/99]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/100]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/101]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/102]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/103]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/104]                             inherit         9150
topology/pod-1/node-103/sys/phys-[eth1/1]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/2]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/3]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/4]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/5]                             10G         9000
